ex ey ez px py pz
0.4815784640019172 0.6383587934768319 -0.6004833334909115 0.4825301328678851 0.6397065936055498 -0.5982809916519867
0.9227235902408361 1.47127901711601 -2.181023295493934 0.44206963678891387 0.8341804124853852 -1.5783538879343684
1.2497045693224562 1.735835136790194 -4.0884997120296465 0.8067745016398782 0.9024658097550622 -2.5069697751954907
0.7549056738538191 1.870927844708085 -5.518264624954508 -0.058099463867557266 0.9679090384938379 -3.004674715496155
-0.8580410575641066 2.4602170234009013 -6.422633145654985 -0.8096418033466016 1.4916049031791576 -3.4058314844554487
-1.1661930742620257 2.8141302245092628 -7.705069529968924 -0.37851822351843933 1.316357908100704 -4.290942183538972
-0.7132978478648706 3.2804232068772516 -9.356631702154477 -0.3755051644886921 1.9492415215789627 -5.065183265674236
-1.109725239522393 4.7864724098519655 -10.408082897493188 -0.7810446292738359 2.819764283150339 -5.343980439418741
-2.3077083310499664 6.261670809400744 -10.772285146833013 -1.5696592898400863 3.4302850263089497 -5.417133288392897
-3.3499684337449187 7.7886183112531935 -10.558981676046377 -1.805984225115659 4.3560293502363745 -5.121924935389206
-4.092898776706941 9.505429167682184 -10.615429318148871 -2.2974706109053944 5.153693738155732 -5.471456989468058
-5.426320803419241 10.821576723386762 -10.824601275622502 -3.1289782295169344 5.685489574432802 -5.3108697274908465
-7.251690813046642 11.16599529129355 -10.648627863138758 -4.113636922211512 5.522449339967322 -5.248699470563221
-7.811977517037537 11.855860483823832 -10.882861115926088 -3.6866956476346013 6.378926317275431 -5.538817266301104
-6.864645130073814 13.571818822141685 -11.091442834868387 -3.149005003365419 7.221618030183302 -5.511259181066671
-7.128588191443774 14.631481625264446 -11.6135599057146 -3.953662651699182 7.435106307962504 -6.06528880502991
-8.582627412401873 15.585348632236173 -12.145571465567299 -4.605535105407121 8.19110021614732 -6.005828609232719
-10.101635682342105 16.585635105780028 -11.642966452325464 -5.434773807113204 8.470998195552884 -5.522072165639983
-10.461801210505337 17.456900881644064 -11.803284508419159 -4.957380610165556 9.06458104741372 -6.169957289319221
-10.85165489229013 17.73177920021956 -12.74402623850321 -5.859908583959465 8.735677266777675 -6.447924121158522
-11.759554588215256 17.06971180249288 -12.12263779212245 -5.846900961261048 8.435095634245968 -5.494256734730576
-12.432612320779516 17.175566462696022 -10.545449469287698 -6.452682429340097 8.891840152736997 -4.842786660390709
-13.177449126458622 17.376339370602718 -10.883763670057624 -6.606020234562902 8.643962499900407 -5.799366080362557
-13.558735233620341 17.61388063528134 -12.691652923278053 -6.924598770195062 9.09388471507348 -6.63367880166568
-14.264203676931707 18.818449787225873 -14.054464767518951 -7.356946199962728 9.830584292920614 -7.153630176289449
-14.82376746947862 18.976890250992312 -15.380039082221153 -7.5572178374610495 9.230768762680023 -7.928299525686945
-15.129778529357335 18.601387472631878 -17.14563786015734 -7.77871246195942 9.413421913695903 -8.886202421466207
-15.055109297053281 18.55795513500531 -17.17217216959521 -7.483883015332399 9.185247735631972 -7.958295022063414
-15.093450813127955 18.1436541070561 -17.180200068765345 -7.831955937518615 8.999496901714842 -8.877175791554123
-14.739383849802351 17.88417820476643 -18.89233661872339 -7.254526410291029 8.85916484889814 -9.681465575175658
-14.144741259521068 17.632048197531052 -20.645707470099367 -7.369866703053869 8.66974397633908 -10.656563698394212
-15.149019319113089 17.208433709327046 -21.634386666344362 -8.339111609795653 8.43651532202335 -10.578022590933298
-15.751582773493245 17.849770783146823 -21.422637328912842 -7.933868281945461 9.338398284347207 -10.428406523938984
-16.150409355121646 18.42208049942633 -21.765462479600437 -8.746068246986633 9.010713562225535 -10.91105954596947
-17.290676170452397 18.01236489872568 -23.24394037358197 -9.205576276662608 8.918938472031897 -11.794478870799562
-17.321876056073986 18.000884939276233 -25.100924944026776 -8.938506057959266 8.93284523270869 -12.758055593375001
-16.826875400920365 19.022214405261906 -25.790762688574954 -8.734411048911243 9.892454916524425 -12.564420673980917
-17.48009730352122 20.574884560241255 -25.456430341016972 -9.498256967279493 10.523321139083526 -12.428232487172464
-17.89847137643538 20.900539429379023 -26.252022968858785 -9.212945227841388 10.204536634740435 -13.33209843471642
-17.332462738285404 20.827531266652084 -28.0998060642679 -9.112898134892632 10.353427585744589 -14.315877914021401
-17.207880855497987 22.0063141134394 -28.890518208830237 -9.115266790053026 11.34481132049928 -14.184909673838641
-17.396684779501037 23.231126743931842 -29.68001469406858 -9.33103660217127 11.553744005740139 -15.138739072219977
-17.160314358981086 23.585677899241347 -31.566119217473684 -9.060830073408654 11.610677415290386 -16.099856660598757
-17.778652388254596 23.77518425876587 -32.657104099860014 -10.05158476509719 11.72926705711859 -16.165747765827103
-19.49072337241841 24.52121370254074 -32.68120286772814 -10.729555284745729 12.440873312894432 -15.981431431151693
-21.09059226595129 25.656523534138834 -32.38162612903915 -11.553438988073937 12.958486773666579 -15.750580941401992
-22.92483343331264 26.19087938147497 -32.48377759403419 -12.535968176743326 13.067518832861682 -15.901406680188009
-24.72491306380824 26.777745113172863 -32.566015934007524 -13.319031463395772 13.638717012142981 -15.655348701079838
-25.83224627074889 27.605136688573126 -33.30088190962215 -13.681964801354797 13.91996730246083 -16.54370542357033
-26.434573839314346 27.902595574812363 -35.15594048247235 -14.127215651169475 13.882898645386078 -17.438343671915426
-26.810388340556443 28.06687058297624 -37.08270078265684 -14.285908869474078 14.012719676967226 -18.417099495511554
-27.326339778462216 29.10170417234139 -37.867335964501144 -14.681766390348672 14.90746526244976 -18.210394003502902
-28.662261243201666 29.45764376067805 -37.68278349411875 -15.56660427099699 14.458592928571662 -18.085591948837827
-30.271885393682403 28.297871855260762 -37.58310752990451 -16.325569739114567 13.857152515202422 -17.836110792492697
-30.926040212454907 27.97446850833574 -38.40757458994874 -16.345751265466575 14.135137244314548 -18.796484259626478
-30.978261590514702 28.591154455049093 -40.29416017637662 -16.6060998076557 14.376387822992971 -19.731372913353393
-31.033154759301613 29.171288932831917 -42.19319019770197 -16.636293156024955 14.61536979283628 -20.701927383645536
-31.745164253283395 30.03099170639445 -42.93908202236785 -17.363468671257664 15.242135773300845 -20.421962786279483
-32.59531272504586 31.544942097975078 -42.4289277409745 -17.309503606978545 16.209766803842545 -20.17543092105683
-32.51290039426949 33.43518442149285 -41.80681199306114 -17.07432988875603 17.15402519519739 -19.945062927157167
-33.039134545646476 35.12720594997925 -41.47546432328059 -17.674013482708038 17.95183015253822 -19.882718423091458
-34.42525306236125 35.56071794142594 -42.06771639963991 -18.506907835306425 17.652142429836452 -20.347986374138532
-35.236722008305605 35.07472088037093 -43.6568793789389 -18.754196152962606 17.43218359935524 -21.29163175289271
-36.015081202844726 34.296766681344096 -45.018201826697045 -19.540263881594107 16.854996438364694 -21.5128838877791
-37.51432496881329 34.2771849256904 -45.34248058043233 -20.283244507352144 17.5093186986789 -21.37202165222427
-38.02305896840586 35.78889555746205 -45.03084082217516 -19.887296709029023 18.417220483205497 -21.23440010356093
-37.19451237058204 37.45111078471776 -45.18024160200851 -19.382354637176224 19.088147511653798 -21.77743824823452
-36.90199275749229 39.086443424780825 -45.20667677608977 -19.491767159476673 20.02033950426314 -21.432406381765826
-37.98575382445133 40.50956799386237 -44.737637823586674 -20.26685408473598 20.622938681874896 -21.242368255502406
-38.50923211745186 41.438244778560346 -45.508092081794864 -20.077343200841746 20.936241443086615 -22.172920244755417
-37.97630611438155 42.73358241577189 -45.97933077894645 -19.732748973893464 21.833590325617898 -21.89720335776121
-38.35681708361894 43.54567394631663 -46.39143971689753 -20.466579654400537 21.750738066063047 -22.571464461068512
-38.95505968879392 43.48021761328214 -48.19158621135996 -20.653162981462586 21.70567838169261 -23.552869722368293
-38.86700489974264 43.47436218982596 -50.18677312244365 -20.74838996783748 21.60521044134984 -24.543242386585778
-39.250569972392505 44.292307367270766 -50.931668285261885 -21.101538610485346 22.50238718111307 -24.277987916644562
-39.41076433030309 45.48607287619327 -51.562623576771315 -20.935287974300934 22.763705898212653 -25.228815584553793
-39.95334722810018 46.348071853503555 -52.482112781037344 -21.741952318323584 23.348907475409742 -25.146161182804423
