ts x y z vx vy vz ax ay az ox oy oz ow accel gyro
1625518950467.2297 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.030183833092451096 -0.0005228715017437935 -0.0053832996636629105 0.9995297193527222 "x: -0.0382459, y: 10.0396, z: -0.688427" "x: 0.00426119, y: -0.00426119, z: 0.0010653"
1625518950577.1453 -3.519664460327476e-05 -0.0010856720618903637 0.0002656003925949335 -0.0007228737813420594 -0.025249864906072617 0.009337442927062511 -0.011145480908453465 -0.3218671977519989 0.08355880528688431 -0.02568945847451687 -0.00024576857686042786 -0.004751729313284159 0.9996587038040161 "x: -0.0382459, y: 10.0396, z: -0.688427" "x: 0.00213059, y: 0.00319589, z: -0.0010653"
1625518950677.0686 -1.3782512723992113e-05 -0.0010873280698433518 0.000236619365750812 -0.0004094500036444515 -0.023890359327197075 0.005902279168367386 -0.007834923453629017 -0.31261390447616577 0.016240794211626053 -0.028026429936289787 -0.00023424661776516587 -0.004928993992507458 0.999595046043396 "x: -0.0382459, y: 10.0396, z: -0.688427" "x: -0.0010653, y: 0.0010653, z: -0.00213059"
1625518950776.9917 -7.6139917837281246e-06 -0.0008095864905044436 -0.00018802174599841237 -0.0002683272468857467 -0.01647076942026615 -0.0010141429957002401 -0.004049024544656277 -0.19217410683631897 0.006834262050688267 -0.02938743680715561 -0.0001797102886484936 -0.005083533935248852 0.999555230140686 "x: -0.0382459, y: 10.0587, z: -0.688427" "x: -0.00213059, y: 0.00426119, z: 0.00319589"
1625518950881.9114 3.2916836062213406e-05 -0.0004115366318728775 -0.0002037169469986111 0.0003826687461696565 -0.012701663188636303 0.0009871780639514327 -0.0023236232809722424 -0.2649429142475128 0.012332256883382797 -0.029552463442087173 -0.00010309878416592255 -0.005196348298341036 0.9995497465133667 "x: -0.0382459, y: 10.0587, z: -0.70755" "x: 0, y: 0.00426119, z: -0.0010653"
1625518950982.022 -2.1722684323322028e-05 -0.0004348563961684704 -0.0003115192521363497 -0.0006008869968354702 -0.013880115933716297 -0.0002342713123653084 -0.0029590963385999203 -0.2698436379432678 0.04782569408416748 -0.029796365648508072 -0.00011115893721580505 -0.00514447083696723 0.999542772769928 "x: -0.0382459, y: 10.0396, z: -0.688427" "x: 0.00426119, y: 0.00426119, z: -0.0010653"
1625518951081.9453 -0.00025727570755407214 -0.0005909749306738377 -0.0003782923158723861 -0.00233947834931314 -0.014717173762619495 -0.0005010651657357812 -0.004986244719475508 -0.24595019221305847 -0.004149050917476416 -0.029834559187293053 -0.0001056179971783422 -0.0050421711057424545 0.9995421767234802 "x: -0.0382459, y: 10.0396, z: -0.70755" "x: 0, y: 0.00213059, z: 0.00213059"
1625518951181.869 -0.0002699672768358141 -0.0006061673630028963 -0.0003895560803357512 -0.0008304454968310893 -0.015448484569787979 0.001554784830659628 -0.0016619545640423894 -0.2683286666870117 0.03180081769824028 -0.02986159548163414 -0.00011266881483606994 -0.005214320961385965 0.9995404481887817 "x: -0.0382459, y: 10.0587, z: -0.688427" "x: 0.00426119, y: 0.00319589, z: 0"
1625518951286.788 -0.00012379148392938077 -0.0006833186489529908 -0.0003261583624407649 0.0011546912137418985 -0.01726541295647621 0.0020917796064168215 0.0006687961285933852 -0.27883148193359375 0.009435193613171577 -0.029784495010972023 -0.0001207951208925806 -0.00535939447581768 0.9995419979095459 "x: -0.0382459, y: 10.0396, z: -0.70755" "x: 0.00639178, y: -0.00426119, z: -0.00213059"
1625518951386.712 1.9592333046603017e-05 -0.0007771501550450921 -0.00028996754554100335 0.0013514973688870668 -0.01845448650419712 0.0011103242868557572 -0.01900152675807476 -0.347750186920166 -0.06933196634054184 -0.02991786226630211 -0.00011425456614233553 -0.005397577304393053 0.9995378255844116 "x: -0.019123, y: 10.0396, z: -0.70755" "x: 0.0010653, y: 0.0010653, z: 0.00319589"
